,rank,name,club,id,percentage-ranking
0,1,Michael Kohl,PBV Schwetzingen 2,102470,"(24, 4, 0.8571428571428571)"
1,2,Philipp Lisenko,P&S Denzlingen,231558,"(23, 4, 0.8518518518518519)"
2,3,Dennis Laszkowski,PBV Schwetzingen 2,248020,"(22, 6, 0.7857142857142857)"
3,4,Nicolas Kalb,PBC Offenburg 2,102178,"(21, 7, 0.75)"
4,5,Vladislav Hebel,P&S Denzlingen,101723,"(20, 8, 0.7142857142857143)"
5,6,Thierry Kalb,PBC Offenburg 2,102179,"(19, 5, 0.7916666666666666)"
6,7,Frank Wagenmann,PBC Offenburg,104825,"(18, 6, 0.75)"
7,8,Florian Menzel,PBV Schwetzingen 2,103072,"(18, 9, 0.6666666666666666)"
8,9,Zejko Zoric,P&S Denzlingen,105247,"(16, 8, 0.6666666666666666)"
9,10,Ingo Nassall,PP Karlsbad 2,103289,"(16, 12, 0.5714285714285714)"
10,11,Thimo Hugger,PP Karlsbad 2,249707,"(15, 7, 0.6818181818181818)"
11,12,Carsten Isele,P&S Denzlingen,102067,"(15, 8, 0.6521739130434783)"
12,13,Oliver Jörger,PBC Offenburg,102135,"(13, 11, 0.5416666666666666)"
13,14,Willi Ludwig,PP Karlsbad 2,102870,"(13, 13, 0.5)"
14,15,Manuel Suden,BSV Weinheim,241616,"(12, 6, 0.6666666666666666)"
15,16,Marius Sutor,PBC Offenburg,104564,"(12, 14, 0.46153846153846156)"
16,17,Birol Caliskan,PBC Bruchsal,100640,"(12, 16, 0.42857142857142855)"
17,18,Florian Stojanoski,PBV Schwetzingen 2,104507,"(11, 12, 0.4782608695652174)"
18,19,Lionel Heit,PBC Offenburg 2,101773,"(11, 13, 0.4583333333333333)"
19,20,Udo Träutlein,BSV Weinheim,104658,"(11, 17, 0.39285714285714285)"
20,21,Daniel Stohler,BC Dreiländereck,104506,"(10, 16, 0.38461538461538464)"
21,22,Holger Vier,PBC Bruchsal,163386,"(9, 17, 0.34615384615384615)"
22,23,Dieter Neumann,BSV Weinheim,103325,"(8, 18, 0.3076923076923077)"
23,24,Tobias Kessler,PP Karlsbad 2,102317,"(8, 18, 0.3076923076923077)"
24,25,Timo Weis,BC Dreiländereck,104946,"(8, 18, 0.3076923076923077)"
25,26,Jürgen Schroff,PBC Bruchsal,104204,"(7, 7, 0.5)"
26,27,Timm Urschinger,BC Dreiländereck,104725,"(7, 13, 0.35)"
27,28,Christian Betting,BC Dreiländereck,100338,"(6, 4, 0.6)"
28,29,Dirk Schäfer,BSV Weinheim,103951,"(6, 6, 0.5)"
29,30,Daniel Jimenez,PBC Offenburg,102117,"(6, 12, 0.3333333333333333)"
30,31,Daniel Kimmig,PBC Offenburg,242902,"(6, 14, 0.3)"
31,32,Stefano Iacuzzo,BC Dreiländereck,350287,"(5, 9, 0.35714285714285715)"
32,33,Bülent Acar,PBC Bruchsal,100009,"(5, 15, 0.25)"
33,34,Michael Heneka,PBC Bruchsal,101803,"(5, 15, 0.25)"
34,35,"Thomas Vincenzo ""Enzo"" Campo",PP Karlsbad 2,100645,"(4, 4, 0.5)"
35,36,Stefan Kuhn,BC Dreiländereck,102657,"(4, 6, 0.4)"
36,37,Markus Rütten,P&S Denzlingen,123146,"(2, 0, 1.0)"
37,38,Maximilien Koch,PBC Offenburg 2,102461,"(2, 4, 0.3333333333333333)"
38,39,Steffen Adler,BSV Weinheim,100021,"(2, 14, 0.125)"
39,40,Maxime Martin,PBC Offenburg 2,102989,"(2, 14, 0.125)"
40,41,Nikolaus Deckers,P&S Denzlingen,100780,"(1, 1, 0.5)"
41,42,Pascal Alix,PBC Offenburg 2,100056,"(1, 3, 0.25)"
42,43,Marc Proissl,BSV Weinheim,103573,"(0, 6, 0.0)"
43,44,Timo Heim,PBC Offenburg 2,101750,"(0, 2, 0.0)"
44,45,Hendrik Snijder,BSV Weinheim,104382,"(0, 2, 0.0)"
45,46,Daniel Penz,BC Dreiländereck,103493,"(0, 2, 0.0)"
46,47,Gabriel Correia,PBC Offenburg 2,248624,"(0, 4, 0.0)"
47,48,Uwe Lang,P&S Denzlingen,102719,"(0, 2, 0.0)"
48,49,Mathias Hornbach,P&S Denzlingen,101989,"(0, 2, 0.0)"
49,50,Zehrudin Vereget,PBV Schwetzingen 2,104752,"(0, 2, 0.0)"
